Destination Airport State,ID,Origin Airport,Origin Airport State,Route Cost,Destination Airport,Main Cabin Price,Departing Date,Departing Time,Duration,Distance,Destination Code,Arrival Date,Origin Code,Arrival Time,Total Seats,Origin Airport City,Origin Airport Country,Origin Airport Fee,Origin Airport Lounge,Destination Airport City,Destination Airport Country,Destination Airport Fee,Destination Airport Lounge,Type,Surcharge,Food Served,Main Cabin Seats,Business Class Price,Miner Points,First Class Seats,Time Zone Difference,Business Class Seats,Flight Number,First Class Price
Massachusetts,88,Los Angeles International Airport,California,51892,Boston Logan International Airport,130,4/6/2023,3:00 PM,326,2269,BOS,4/6/2023,LAX,11:26 PM,156,Los Angeles,United States,4,TRUE,Boston,United States,3,TRUE,Domestic,0,TRUE,104,637,4538,12,3,40,23788,1252
Massachusetts,208,Los Angeles International Airport,California,51892,Boston Logan International Airport,285,4/7/2023,3:00 PM,326,2269,BOS,4/7/2023,LAX,11:26 PM,159,Los Angeles,United States,4,TRUE,Boston,United States,3,TRUE,Domestic,0,TRUE,86,1047,4538,13,3,60,231208,2490
Massachusetts,328,Los Angeles International Airport,California,51892,Boston Logan International Airport,181,4/8/2023,3:00 PM,326,2269,BOS,4/8/2023,LAX,11:26 PM,147,Los Angeles,United States,4,TRUE,Boston,United States,3,TRUE,Domestic,0,TRUE,87,1185,4538,10,3,50,234328,2517
Massachusetts,448,Los Angeles International Airport,California,51892,Boston Logan International Airport,242,4/9/2023,3:00 PM,326,2269,BOS,4/9/2023,LAX,11:26 PM,141,Los Angeles,United States,4,TRUE,Boston,United States,3,TRUE,Domestic,0,TRUE,88,1019,4538,11,3,42,237448,2268
Massachusetts,568,Los Angeles International Airport,California,51892,Boston Logan International Airport,423,4/10/2023,3:00 PM,326,2269,BOS,4/10/2023,LAX,11:26 PM,167,Los Angeles,United States,4,TRUE,Boston,United States,3,TRUE,Domestic,0,TRUE,100,746,4538,12,3,55,231568,2873
Massachusetts,688,Los Angeles International Airport,California,51892,Boston Logan International Airport,538,4/11/2023,3:00 PM,326,2269,BOS,4/11/2023,LAX,11:26 PM,171,Los Angeles,United States,4,TRUE,Boston,United States,3,TRUE,Domestic,0,TRUE,96,567,4538,11,3,64,234688,1846
Massachusetts,808,Los Angeles International Airport,California,51892,Boston Logan International Airport,413,4/12/2023,3:00 PM,326,2269,BOS,4/12/2023,LAX,11:26 PM,163,Los Angeles,United States,4,TRUE,Boston,United States,3,TRUE,Domestic,0,TRUE,90,817,4538,15,3,58,237808,2709
Massachusetts,928,Los Angeles International Airport,California,51892,Boston Logan International Airport,496,4/13/2023,3:00 PM,326,2269,BOS,4/13/2023,LAX,11:26 PM,166,Los Angeles,United States,4,TRUE,Boston,United States,3,TRUE,Domestic,0,TRUE,102,782,4538,14,3,50,231928,3102
Massachusetts,1048,Los Angeles International Airport,California,51892,Boston Logan International Airport,337,4/14/2023,3:00 PM,326,2269,BOS,4/14/2023,LAX,11:26 PM,154,Los Angeles,United States,4,TRUE,Boston,United States,3,TRUE,Domestic,0,TRUE,94,893,4538,8,3,52,2341048,3313
Massachusetts,1168,Los Angeles International Airport,California,51892,Boston Logan International Airport,409,4/15/2023,3:00 PM,326,2269,BOS,4/15/2023,LAX,11:26 PM,150,Los Angeles,United States,4,TRUE,Boston,United States,3,TRUE,Domestic,0,TRUE,93,1002,4538,14,3,43,2371168,2716
Massachusetts,1288,Los Angeles International Airport,California,51892,Boston Logan International Airport,196,4/16/2023,3:00 PM,326,2269,BOS,4/16/2023,LAX,11:26 PM,159,Los Angeles,United States,4,TRUE,Boston,United States,3,TRUE,Domestic,0,TRUE,102,940,4538,10,3,47,2311288,1577
Massachusetts,1408,Los Angeles International Airport,California,51892,Boston Logan International Airport,357,4/17/2023,3:00 PM,326,2269,BOS,4/17/2023,LAX,11:26 PM,164,Los Angeles,United States,4,TRUE,Boston,United States,3,TRUE,Domestic,0,TRUE,101,1195,4538,10,3,53,2341408,2664
Massachusetts,1528,Los Angeles International Airport,California,51892,Boston Logan International Airport,135,4/18/2023,3:00 PM,326,2269,BOS,4/18/2023,LAX,11:26 PM,152,Los Angeles,United States,4,TRUE,Boston,United States,3,TRUE,Domestic,0,TRUE,91,987,4538,14,3,47,2371528,2287
Massachusetts,1648,Los Angeles International Airport,California,51892,Boston Logan International Airport,298,4/19/2023,3:00 PM,326,2269,BOS,4/19/2023,LAX,11:26 PM,161,Los Angeles,United States,4,TRUE,Boston,United States,3,TRUE,Domestic,0,TRUE,97,1048,4538,15,3,49,2311648,2862
Massachusetts,1768,Los Angeles International Airport,California,51892,Boston Logan International Airport,389,4/20/2023,3:00 PM,326,2269,BOS,4/20/2023,LAX,11:26 PM,160,Los Angeles,United States,4,TRUE,Boston,United States,3,TRUE,Domestic,0,TRUE,91,680,4538,10,3,59,2341768,1981
Massachusetts,1888,Los Angeles International Airport,California,51892,Boston Logan International Airport,273,4/21/2023,3:00 PM,326,2269,BOS,4/21/2023,LAX,11:26 PM,153,Los Angeles,United States,4,TRUE,Boston,United States,3,TRUE,Domestic,0,TRUE,102,873,4538,11,3,40,2371888,2210
Massachusetts,2008,Los Angeles International Airport,California,51892,Boston Logan International Airport,414,4/22/2023,3:00 PM,326,2269,BOS,4/22/2023,LAX,11:26 PM,157,Los Angeles,United States,4,TRUE,Boston,United States,3,TRUE,Domestic,0,TRUE,99,746,4538,9,3,49,2312008,3082
Massachusetts,2128,Los Angeles International Airport,California,51892,Boston Logan International Airport,441,4/23/2023,3:00 PM,326,2269,BOS,4/23/2023,LAX,11:26 PM,164,Los Angeles,United States,4,TRUE,Boston,United States,3,TRUE,Domestic,0,TRUE,95,591,4538,14,3,55,2342128,2538
Massachusetts,2248,Los Angeles International Airport,California,51892,Boston Logan International Airport,401,4/24/2023,3:00 PM,326,2269,BOS,4/24/2023,LAX,11:26 PM,150,Los Angeles,United States,4,TRUE,Boston,United States,3,TRUE,Domestic,0,TRUE,99,867,4538,9,3,42,2372248,3199
Massachusetts,2368,Los Angeles International Airport,California,51892,Boston Logan International Airport,310,4/25/2023,3:00 PM,326,2269,BOS,4/25/2023,LAX,11:26 PM,157,Los Angeles,United States,4,TRUE,Boston,United States,3,TRUE,Domestic,0,TRUE,88,801,4538,10,3,59,2312368,2761
Massachusetts,2488,Los Angeles International Airport,California,51892,Boston Logan International Airport,124,4/26/2023,3:00 PM,326,2269,BOS,4/26/2023,LAX,11:26 PM,152,Los Angeles,United States,4,TRUE,Boston,United States,3,TRUE,Domestic,0,TRUE,97,1181,4538,10,3,45,2342488,1611
Massachusetts,2608,Los Angeles International Airport,California,51892,Boston Logan International Airport,241,4/27/2023,3:00 PM,326,2269,BOS,4/27/2023,LAX,11:26 PM,148,Los Angeles,United States,4,TRUE,Boston,United States,3,TRUE,Domestic,0,TRUE,85,794,4538,8,3,55,2372608,2218
Massachusetts,2728,Los Angeles International Airport,California,51892,Boston Logan International Airport,298,4/28/2023,3:00 PM,326,2269,BOS,4/28/2023,LAX,11:26 PM,157,Los Angeles,United States,4,TRUE,Boston,United States,3,TRUE,Domestic,0,TRUE,89,1116,4538,11,3,57,2312728,3202
Massachusetts,2848,Los Angeles International Airport,California,51892,Boston Logan International Airport,368,4/29/2023,3:00 PM,326,2269,BOS,4/29/2023,LAX,11:26 PM,160,Los Angeles,United States,4,TRUE,Boston,United States,3,TRUE,Domestic,0,TRUE,95,1095,4538,15,3,50,2342848,1281
Massachusetts,2968,Los Angeles International Airport,California,51892,Boston Logan International Airport,504,4/30/2023,3:00 PM,326,2269,BOS,4/30/2023,LAX,11:26 PM,149,Los Angeles,United States,4,TRUE,Boston,United States,3,TRUE,Domestic,0,TRUE,94,848,4538,11,3,44,2372968,2690
Massachusetts,3088,Los Angeles International Airport,California,51892,Boston Logan International Airport,167,5/1/2023,3:00 PM,326,2269,BOS,5/1/2023,LAX,11:26 PM,167,Los Angeles,United States,4,TRUE,Boston,United States,3,TRUE,Domestic,0,TRUE,96,1132,4538,10,3,61,2313088,2829
Massachusetts,3208,Los Angeles International Airport,California,51892,Boston Logan International Airport,428,5/2/2023,3:00 PM,326,2269,BOS,5/2/2023,LAX,11:26 PM,165,Los Angeles,United States,4,TRUE,Boston,United States,3,TRUE,Domestic,0,TRUE,102,1165,4538,12,3,51,2343208,1964
Massachusetts,3328,Los Angeles International Airport,California,51892,Boston Logan International Airport,548,5/3/2023,3:00 PM,326,2269,BOS,5/3/2023,LAX,11:26 PM,171,Los Angeles,United States,4,TRUE,Boston,United States,3,TRUE,Domestic,0,TRUE,99,801,4538,9,3,63,2373328,2284
Massachusetts,3448,Los Angeles International Airport,California,51892,Boston Logan International Airport,319,5/4/2023,3:00 PM,326,2269,BOS,5/4/2023,LAX,11:26 PM,151,Los Angeles,United States,4,TRUE,Boston,United States,3,TRUE,Domestic,0,TRUE,89,964,4538,9,3,53,2313448,3169
